設備ID,発電事業者名,代表者名,事業者の住所,事業者の電話番号,発電設備区分,発電出力（kW）,発電設備の所在地,他の筆数,太陽電池の合計出力（kW）,新規認定日,運転開始報告年月,パワーコンディショナーの自立運転機能の有無,給電用コンセントの有無,廃棄費用の積立方法,廃棄費用の積立状況,調達期間終了年月
1B15684E25,土山バイオマス発電所合同会社,表原　弘幸,徳島県阿南市畭町三田７９－１,0884-24-9972,バイオマス,900.0,滋賀県甲賀市土山町南土山字中野乙２２５－１,1,-,1月5日2022年,-,-,-,-,運転開始前,-
6B64331E25,社会福祉法人オアシス倶楽部,野田　英彦,滋賀県近江八幡市馬淵町６９０,0748-38-0294,太陽光,47.1,滋賀県近江八幡市馬淵町６９０,0,49.6,12月12日2023年,2024年1月,有,有,外部積立て,-,2043年11月
6B65895525,リコーリース株式会社,中村　徳晴,東京都千代田区紀尾井町４－１,03-6204-0845,太陽光,1500.0,滋賀県湖南市大池町７－１,0,2338.5,1月18日2024年,2024年5月,-,-,外部積立て,-,2044年4月
6B68566E25,株式会社滋賀トヨタ,吉川　敦巳,滋賀県大津市本宮二丁目９番１２号,077-524-6711,太陽光,29.7,滋賀県栗東市上鈎２９４－１,0,35.5,1月12日2024年,2024年2月,有,有,外部積立て,-,2043年12月
6B71014E25,ツカサ産業株式会社,中園　孝行,滋賀県草津市岡本町８４５,077-561-4631,太陽光,150.0,滋賀県草津市山寺町２５０－１８,0,237.6,3月7日2024年,2024年8月,-,-,外部積立て,-,2044年6月
6B75000E25,株式会社センコーＰＰＡマネジメント,大橋　泰三,三重県四日市市北浜町８－１６,,太陽光,266.4,滋賀県草津市下物町字堤５１－１,1,354.2,3月6日2024年,2024年4月,-,-,外部積立て,-,2044年3月
6B78162E25,株式会社クスリのアオキ,青木　宏憲,石川県白山市松本町２５１２,076-274-1111,太陽光,150.0,滋賀県愛知郡愛荘町安孫子２４３,0,200.6,3月27日2024年,-,-,-,外部積立て,-,-
6B78167525,株式会社こほくエナジー,久木　裕,滋賀県長浜市木之本町小山４６５,0749-53-3306,太陽光,1000.0,滋賀県長浜市細江町８６４－４,0,1259.9,3月15日2024年,2024年5月,-,-,外部積立て,-,2044年4月
6B78344E25,株式会社クスリのアオキ,青木　宏憲,石川県白山市松本町２５１２,076-274-1111,太陽光,100.0,滋賀県栗東市目川１４３３,1,115.8,3月29日2024年,2024年6月,-,-,外部積立て,-,2044年4月
6B78467E25,株式会社クスリのアオキ,青木　宏憲,石川県白山市松本町２５１２,076-274-1111,太陽光,99.0,滋賀県長浜市加納町６５５－７,0,168.4,3月27日2024年,-,-,-,外部積立て,-,-
6B78472E25,株式会社クスリのアオキ,青木　宏憲,石川県白山市松本町２５１２,076-274-1111,太陽光,99.0,滋賀県東近江市八日市清水３－２－２７,1,136.8,3月29日2024年,-,-,-,外部積立て,-,-
6B78492E25,株式会社田村製作所,田村　友和,滋賀県草津市志那町１１２－３,,太陽光,34.6,滋賀県草津市志那町１１２－３,0,53.9,3月29日2024年,2024年5月,有,有,外部積立て,-,2044年3月
6B82211525,株式会社日本ベネックス,小林　洋平,長崎県諫早市津久葉町９９－４８,03-6261-5630,太陽光,900.0,滋賀県湖南市石部緑台１－２３１５－３２,0,1357.2,8月28日2024年,2024年8月,-,-,外部積立て,-,2044年7月
6B85056E25,臼井　琢磨,,,,太陽光,22.0,滋賀県東近江市鋳物師町字鳥居本１０３１,0,24.9,8月7日2024年,2024年9月,有,有,外部積立て,-,2044年7月
6B87553E25,中川絹糸株式会社,中川　嘉隆,滋賀県長浜市川道町２４８１,0749-72-3535,太陽光,150.0,滋賀県長浜市川道町字牛房屋２４２４－２,6,221.1,9月10日2024年,2025年1月,-,-,外部積立て,-,2044年11月
6B94597E25,紺藤織物株式会社,山川　藤治,滋賀県高島市新旭町藁園１４９８番地,0740-25-3431,太陽光,200.0,滋賀県高島市新旭町藁園字四ノ坪３４０２番地,0,274.5,10月7日2024年,2024年12月,-,-,外部積立て,-,2044年10月
6B94598E25,長岡産業株式会社,長岡　利典,滋賀県大津市粟津町２－６１,077-534-1730,太陽光,148.5,滋賀県大津市大石中６－２－１３,1,198.0,10月8日2024年,2025年1月,-,-,外部積立て,-,2044年11月
6B95963E25,滋賀ホンダ販売株式会社,橋本　昭吉,滋賀県大津市蓮池町１５‐１２,077-516-7350,太陽光,29.7,滋賀県草津市東矢倉２‐２３３‐５,0,67.5,11月18日2024年,-,有,有,外部積立て,-,-
6B99237E25,株式会社３６５－エステート,中村浩敏,滋賀県長浜市内保町３０１,0749-63-5508,太陽光,80.0,滋賀県長浜市内保町２５８－１,1,121.8,11月27日2024年,2025年3月,-,-,外部積立て,-,2045年1月
6C02135E25,株式会社多久製作所,山本　泰三,大阪府大阪市中央区本町２－５－７,06-6260-7080,太陽光,247.5,滋賀県甲賀市水口町ひのきが丘３３－２,0,518.4,1月6日2025年,-,-,-,外部積立て,-,-
6C03121E25,株式会社カネイ岡,岡真司,滋賀県長浜市木之本町千田２３６,0749-82-2033,太陽光,50.0,滋賀県長浜市木之本町千田２３６ー１,1,70.2,1月27日2025年,-,-,-,外部積立て,-,-
6C05442E25,株式会社３６５中村,中村浩敏,滋賀県長浜市内保町３０１,0749-63-5508,太陽光,249.9,滋賀県長浜市法楽寺町字岡東３４３,3,435.0,1月28日2025年,-,-,-,外部積立て,-,-
6C06060E25,株式会社コメリ,捧　雄一郎,新潟県新潟市南区清水４５０１－１,,太陽光,249.9,滋賀県米原市飯１０２２－１,1,422.3,2月10日2025年,-,-,-,外部積立て,-,-
6C06898E25,第十二日本ソーラー電力合同会社,第二電力株式会社　職務執行者　椎原　祥一朗,千葉県千葉市中央区富士見１－１４－１３千葉大栄ビル８階,03-5447-7008,太陽光,100.0,滋賀県湖南市石部北５－６－５,1,126.0,3月4日2025年,-,-,-,外部積立て,-,-
6C08134E25,淺野運輸倉庫株式会社,淺野　順一,滋賀県栗東市高野５８８,077-552-4511,太陽光,200.0,滋賀県栗東市高野５８８,3,319.0,2月26日2025年,-,-,-,外部積立て,-,-
6C08423E25,特定非営利活動法人　ゆうらいふ,山田　亘宏,滋賀県守山市立田町１２３１－４,077-584-2771,太陽光,38.5,滋賀県守山市川田町１５４１－４,0,44.3,2月27日2025年,-,有,有,外部積立て,-,-
6C09160E25,株式会社クスリのアオキ,青木　宏憲,石川県白山市松本町２５１２,076-274-1111,太陽光,99.0,滋賀県近江八幡市出町１８０,0,168.4,3月26日2025年,-,-,-,外部積立て,-,-
6C09167525,テス・エンジニアリング株式会社,髙崎　敏宏,大阪府大阪市淀川区西中島６－１－１,,太陽光,1999.0,滋賀県蒲生郡竜王町大字小口字ノ川原１０３８－１,14,2985.4,3月13日2025年,-,-,-,外部積立て,-,-
6C09169E25,株式会社クスリのアオキ,青木　宏憲,石川県白山市松本町２５１２,076-274-1111,太陽光,150.0,滋賀県近江八幡市安土町下豊浦８７１３－１,0,235.4,3月26日2025年,-,-,-,外部積立て,-,-
6C11615E25,義岡テクニカル株式会社,吉岡　秀晃,滋賀県栗東市手原７－５－２１,077-553-5538,太陽光,49.9,滋賀県栗東市手原８‐９３‐１,0,59.7,5月30日2025年,-,有,有,外部積立て,-,-
6C12897E25,長浜市,浅見　宣義,滋賀県長浜市八幡東町６３２,0749-62-4111,太陽光,20.8,滋賀県長浜市加田町２７２７,0,21.3,6月18日2025年,-,有,有,外部積立て,-,-
6C14369525,株式会社日本ベネックス,小林　洋平,長崎県諫早市津久葉町９９－４８,03-6261-5630,太陽光,1999.9,滋賀県湖南市石部緑台１‐２３１５‐１,0,6012.5,7月10日2025年,-,-,-,外部積立て,-,-
6Z98626E25,株式会社センコー,大森　功一,滋賀県甲賀市土山町前野１３８－２９,0748-67-8271,太陽光,200.0,滋賀県甲賀市土山町前野字鐘鋳野１３８－２９,0,286.9,12月21日2021年,2022年12月,-,-,外部積立て,-,2042年11月
A658306E25,湖東興産　株式会社,今若　伸男,東近江市上中野町９５６,0749-46-1570,太陽光,100.0,滋賀県東近江市上中野町９５６,0,111.3,6月29日2012年,2013年11月,-,-,外部積立て,-,2032年7月
A660191E25,大樹テクノス株式会社,加藤　治樹,東近江市池之尻町７０番地,,太陽光,49.8,滋賀県東近江市池之尻町７０,0,55.6,7月18日2012年,2013年11月,-,-,外部積立て,-,2032年8月
A661401E25,滋賀県電気工事工業組合,鹿野　敏夫,草津市青地２９９番地１号,077-562-2069,太陽光,49.6,滋賀県草津市青地町２９９－１,0,49.9,7月20日2012年,2013年11月,-,-,外部積立て,-,2032年8月
A664510E25,有限会社電脳自由亭,小杉　充,東近江市八日市町９番７号,0748-20-2320,太陽光,26.9,滋賀県東近江市八日市町９－７,0,26.9,7月26日2012年,2013年11月,-,-,外部積立て,-,2032年7月
A664968E25,丸喜建設株式会社,脇坂　喜好,東近江市園町１１３３－１,0749-46-0455,太陽光,49.8,滋賀県東近江市園町１１３３－１,0,52.8,8月2日2012年,2013年11月,-,-,外部積立て,-,2032年8月
A664969E25,金田　慎吾,,,,太陽光,49.8,滋賀県東近江市御園町３１,0,49.8,8月2日2012年,2013年11月,-,-,外部積立て,-,2032年9月
A664976E25,株式会社藤田電気工業,藤田　善志良,滋賀県東近江市小倉町１９３２,0749-46-1169,太陽光,22.4,滋賀県東近江市小倉町１９３２,0,25.6,7月31日2012年,2013年11月,-,-,外部積立て,-,2032年9月
A664979E25,兵神装備株式会社,市田　邦洋,神戸市兵庫区御崎本町１－１－５４,,太陽光,100.0,滋賀県長浜市高月町東物部１０２０,0,100.0,8月1日2012年,2013年11月,-,-,外部積立て,-,2032年10月
A667383E25,サンメディカル株式会社,鎌田　一則,守山市古高町５７１－２,077-582-9981,太陽光,90.7,滋賀県守山市古高町５７１－２,0,90.7,8月10日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A677008E25,アキレス株式会社,日景　一郎,東京都新宿区北新宿２－２１－１,0284-73-9124,太陽光,503.2,滋賀県犬上郡豊郷町安食西１,0,503.2,8月16日2012年,2013年11月,-,-,外部積立て,-,2032年10月
