設備ID,発電事業者名,代表者名,事業者の住所,事業者の電話番号,発電設備区分,発電出力（kW）,発電設備の所在地,,太陽電池の合計出力（kW）,新規認定日,運転開始報告年月,事業用太陽光地域活用要件の該当の有無,,廃棄費用の積立方法,廃棄費用の積立状況,調達期間終了年月
1A93394H46,枕崎バイオマスエナジー合同会社,日本コムシス株式会社　職務執行者　筒井　浩,鹿児島県枕崎市仁田浦町１９５－１,0993-76-1670,バイオマス,1990,鹿児島県枕崎市仁田浦町１９５－１,2,-,2017年3月16日,2020年10月,-,-,-,開示不同意,2040年9月
1A93395H46,さつま町バイオマス発電合同会社,自然電力株式会社　職務執行者　鈴木　宣博,鹿児島県薩摩郡さつま町柏原３２７０－２,,バイオマス,1990,鹿児島県薩摩郡さつま町柏原字政所３２７０－２,1,-,2017年3月16日,2021年7月,-,-,-,開示不同意,2041年6月
1A93496H46,シン・エナジー株式会社,乾　正博,兵庫県神戸市東灘区住吉宮町３－７－１４,078-600-2663,バイオマス,900,鹿児島県いちき串木野市西薩町２,0,-,2017年3月23日,-,-,-,-,運転開始前,-
1C58580H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８階,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字山涯８１７２－１,0,-,2024年2月1日,-,-,-,-,運転開始前,-
1C58581H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８階,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字山涯８２０６－１,0,-,2024年2月1日,-,-,-,-,運転開始前,-
1C58582H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3581-8880,バイオマス,49,鹿児島県志布志市志布志町安楽字井手下４４７１－１,0,-,2024年2月1日,2025年4月,-,-,-,-,2045年2月
1C58583H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８階,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町野井倉字迫４０６２－１,0,-,2024年2月1日,-,-,-,-,運転開始前,-
1C58584H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８階,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町井俣字小原田１８０３－１,0,-,2024年2月1日,-,-,-,-,運転開始前,-
1C60912H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８階,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町野神字廣迫２９８７－３,0,-,2024年2月21日,-,-,-,-,運転開始前,-
1C60919H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８階,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字三方境３８８４－１,0,-,2024年2月27日,-,-,-,-,運転開始前,-
